Tahun	Bulan	Jenis Ikan	Volume Produksi (kg)
2020	Januari	Teri (Anchovy)	63.163
2020	Januari	Teri Nasi (Anchovies)	22
2020	Januari	Belanak (Mullets)	1.966
2020	Januari	Bentong (Oxeye scad)	229
2020	Januari	Cendro (Needle fish)	50
2020	Januari	Talang-Talang (Queen fish)	356
2020	Januari	Ikan Terbang (Flying fish)	-
2020	Januari	Japuh (Rainbow sardine)	1.189
2020	Januari	Kembung (Indian mackerels)	5.232
2020	Januari	Layang (Scads)	15.959
2020	Januari	Siro/Lemuru (Spotted sardinella)	323
2020	Januari	Selar (Trevallies)	4.662
2020	Januari	Tembang (Fringescale sardinella)	18.548
2020	Januari	Selanget (Chacunda gizzard shad)	4.609
2020	Januari	Tetengkek (Torpedo scad)	9
2020	Januari	Semar (Mene maculata)	-
2020	Januari	Tongkol (Frigate tuna)	4.894
2020	Januari	Layaran (Indo-pacific sailfish)	244
2020	Januari	Tenggiri (Narrow barred king mackerel)	5.268
2020	Januari	Cucut (Sharks)	118
2020	Januari	Manyung (Sea-cat fishes)	1.003
2020	Januari	Sebelah (Croaker)	928
2020	Januari	Kuwe (Great trevally)	198
2020	Januari	Bawal Hitam (Black pomfret)	48
2020	Januari	Bawal Putih (White pomfret)	46
2020	Januari	Golok-Golok (Dorab Wolf Hering)	922
2020	Januari	Beloso (Lizard fishes)	2.167
2020	Januari	Gerot-gerot (Saddle grunt)	27
2020	Januari	Peperek (Pony fishes)	60.939
2020	Januari	Kakap Putih (Giant Perach)	473
2020	Januari	Kakap Merah (Red Snapper)	164
2020	Januari	Jenaha (Snapper)	58
2020	Januari	Kurisi (Threadfin bream)	1.081
2020	Januari	Kuniran (Sulphur goatfish)	17.721
2020	Januari	Kuro (Giant threadfish)	347
2020	Januari	Samgeh (Croackers)	7.898
2020	Januari	Alu-alu (Barracuda)	236
2020	Januari	Kerong-Kerong (Jarbua terapon)	14
2020	Januari	Layur (Hairtail fishes)	188
2020	Januari	Pari (Rays)	1.261
2020	Januari	Ekor Kuning (Yellow tail)	22
2020	Januari	Kerapu (Grouper)	188
2020	Januari	Beronang (Spotted spinefoot)	70
2020	Januari	" Udang 
Jerbung"	156
2020	Januari	Udang Krosok (Tiger cat shrimp)	1.928
2020	Januari	Rajungan (Swimming crabs)	7.315
2020	Januari	Cumi-cumi (Common squids)	15.515
2020	Januari	Sotong (Cuttle fish)	4.309
2020	Januari	Gurita (Octopuses)	375
2020	Januari	Udang lainnya (Other shrimps)	3.125
2020	Januari	Ikan Lainnya (Others)	212
2020	Februari	Teri (Anchovy)	59.424
2020	Februari	Teri Nasi (Anchovies)	-
2020	Februari	Belanak (Mullets)	1.565
2020	Februari	Bentong (Oxeye scad)	104
2020	Februari	Cendro (Needle fish)	127
2020	Februari	Talang-Talang (Queen fish)	452
2020	Februari	Ikan Terbang (Flying fish)	-
2020	Februari	Japuh (Rainbow sardine)	1.181
2020	Februari	Kembung (Indian mackerels)	3.875
2020	Februari	Layang (Scads)	21.336
2020	Februari	Siro/Lemuru (Spotted sardinella)	586
2020	Februari	Selar (Trevallies)	4.221
2020	Februari	Tembang (Fringescale sardinella)	14.642
2020	Februari	Selanget (Chacunda gizzard shad)	4.517
2020	Februari	Tetengkek (Torpedo scad)	197
2020	Februari	Semar (Mene maculata)	11
2020	Februari	Tongkol (Frigate tuna)	1.341
2020	Februari	Layaran (Indo-pacific sailfish)	88
2020	Februari	Tenggiri (Narrow barred king mackerel)	5.710
2020	Februari	Cucut (Sharks)	203
2020	Februari	Manyung (Sea-cat fishes)	1.293
2020	Februari	Sebelah (Croaker)	906
2020	Februari	Kuwe (Great trevally)	313
2020	Februari	Bawal Hitam (Black pomfret)	93
2020	Februari	Bawal Putih (White pomfret)	-
2020	Februari	Golok-Golok (Dorab Wolf Hering)	1.062
2020	Februari	Beloso (Lizard fishes)	1.557
2020	Februari	Gerot-gerot (Saddle grunt)	34
2020	Februari	Peperek (Pony fishes)	36.820
2020	Februari	Kakap Putih (Giant Perach)	85
2020	Februari	Kakap Merah (Red Snapper)	60
2020	Februari	Jenaha (Snapper)	155
2020	Februari	Kurisi (Threadfin bream)	536
2020	Februari	Kuniran (Sulphur goatfish)	10.042
2020	Februari	Kuro (Giant threadfish)	451
2020	Februari	Samgeh (Croackers)	6.222
2020	Februari	Alu-alu (Barracuda)	164
2020	Februari	Kerong-Kerong (Jarbua terapon)	42
2020	Februari	Layur (Hairtail fishes)	66
2020	Februari	Pari (Rays)	1.323
2020	Februari	Ekor Kuning (Yellow tail)	62
2020	Februari	Kerapu (Grouper)	77
2020	Februari	Beronang (Spotted spinefoot)	119
2020	Februari	" Udang 
Jerbung"	128
2020	Februari	Udang Krosok (Tiger cat shrimp)	1.130
2020	Februari	Rajungan (Swimming crabs)	6.561
2020	Februari	Cumi-cumi (Common squids)	26.511
2020	Februari	Sotong (Cuttle fish)	2.809
2020	Februari	Gurita (Octopuses)	168
2020	Februari	Udang lainnya (Other shrimps)	5.403
2020	Februari	Ikan Lainnya (Others)	85
2020	Maret	Teri (Anchovy)	151.204
2020	Maret	Teri Nasi (Anchovies)	-
2020	Maret	Belanak (Mullets)	968
2020	Maret	Bentong (Oxeye scad)	178
2020	Maret	Cendro (Needle fish)	99
2020	Maret	Talang-Talang (Queen fish)	987
2020	Maret	Ikan Terbang (Flying fish)	-
2020	Maret	Japuh (Rainbow sardine)	671
2020	Maret	Kembung (Indian mackerels)	8.480
2020	Maret	Layang (Scads)	23.564
2020	Maret	Siro/Lemuru (Spotted sardinella)	26
2020	Maret	Selar (Trevallies)	5.190
2020	Maret	Tembang (Fringescale sardinella)	22.018
2020	Maret	Selanget (Chacunda gizzard shad)	2.637
2020	Maret	Tetengkek (Torpedo scad)	74
2020	Maret	Semar (Mene maculata)	63
2020	Maret	Tongkol (Frigate tuna)	9.941
2020	Maret	Layaran (Indo-pacific sailfish)	30
2020	Maret	Tenggiri (Narrow barred king mackerel)	2.645
2020	Maret	Cucut (Sharks)	130
2020	Maret	Manyung (Sea-cat fishes)	1.093
2020	Maret	Sebelah (Croaker)	1.049
2020	Maret	Kuwe (Great trevally)	904
2020	Maret	Bawal Hitam (Black pomfret)	35
2020	Maret	Bawal Putih (White pomfret)	-
2020	Maret	Golok-Golok (Dorab Wolf Hering)	774
2020	Maret	Beloso (Lizard fishes)	1.306
2020	Maret	Gerot-gerot (Saddle grunt)	51
2020	Maret	Peperek (Pony fishes)	40.568
2020	Maret	Kakap Putih (Giant Perach)	7
2020	Maret	Kakap Merah (Red Snapper)	162
2020	Maret	Jenaha (Snapper)	506
2020	Maret	Kurisi (Threadfin bream)	661
2020	Maret	Kuniran (Sulphur goatfish)	11.438
2020	Maret	Kuro (Giant threadfish)	343
2020	Maret	Samgeh (Croackers)	7.225
2020	Maret	Alu-alu (Barracuda)	753
2020	Maret	Kerong-Kerong (Jarbua terapon)	200
2020	Maret	Layur (Hairtail fishes)	324
2020	Maret	Pari (Rays)	2.315
2020	Maret	Ekor Kuning (Yellow tail)	103
2020	Maret	Kerapu (Grouper)	219
2020	Maret	Beronang (Spotted spinefoot)	73
2020	Maret	" Udang 
Jerbung"	116
2020	Maret	Udang Krosok (Tiger cat shrimp)	667
2020	Maret	Rajungan (Swimming crabs)	6.795
2020	Maret	Cumi-cumi (Common squids)	55.662
2020	Maret	Sotong (Cuttle fish)	2.938
2020	Maret	Gurita (Octopuses)	336
2020	Maret	Udang lainnya (Other shrimps)	4.148
2020	Maret	Ikan Lainnya (Others)	165
2020	Maret	Teri (Anchovy)	44.694
2020	Maret	Teri Nasi (Anchovies)	-
2020	Maret	Belanak (Mullets)	612
2020	Maret	Bentong (Oxeye scad)	1
2020	Maret	Cendro (Needle fish)	120
2020	Maret	Talang-Talang (Queen fish)	32
2020	Maret	Ikan Terbang (Flying fish)	12
2020	Maret	Japuh (Rainbow sardine)	529
2020	Maret	Kembung (Indian mackerels)	8.640
2020	Maret	Layang (Scads)	1.794
2020	Maret	Siro/Lemuru (Spotted sardinella)	328
2020	Maret	Selar (Trevallies)	3.530
2020	Maret	Tembang (Fringescale sardinella)	9.634
2020	Maret	Selanget (Chacunda gizzard shad)	3.397
2020	Maret	Tetengkek (Torpedo scad)	533
2020	Maret	Semar (Mene maculata)	407
2020	Maret	Tongkol (Frigate tuna)	2.011
2020	Maret	Layaran (Indo-pacific sailfish)	16
2020	Maret	Tenggiri (Narrow barred king mackerel)	4.073
2020	Maret	Cucut (Sharks)	89
2020	Maret	Manyung (Sea-cat fishes)	901
2020	Maret	Sebelah (Croaker)	781
2020	Maret	Kuwe (Great trevally)	1.038
2020	Maret	Bawal Hitam (Black pomfret)	268
2020	Maret	Bawal Putih (White pomfret)	83
2020	Maret	Golok-Golok (Dorab Wolf Hering)	821
2020	Maret	Beloso (Lizard fishes)	936
2020	Maret	Gerot-gerot (Saddle grunt)	415
2020	Maret	Peperek (Pony fishes)	35.053
2020	Maret	Kakap Putih (Giant Perach)	29
2020	Maret	Kakap Merah (Red Snapper)	157
2020	Maret	Jenaha (Snapper)	264
2020	Maret	Kurisi (Threadfin bream)	443
2020	Maret	Kuniran (Sulphur goatfish)	10.490
2020	Maret	Kuro (Giant threadfish)	312
2020	Maret	Samgeh (Croackers)	4.567
2020	Maret	Alu-alu (Barracuda)	1.611
2020	Maret	Kerong-Kerong (Jarbua terapon)	1.302
2020	Maret	Layur (Hairtail fishes)	597
2020	Maret	Pari (Rays)	2.229
2020	Maret	Ekor Kuning (Yellow tail)	239
2020	Maret	Kerapu (Grouper)	317
2020	Maret	Beronang (Spotted spinefoot)	794
2020	Maret	" Udang 
Jerbung"	1.122
2020	Maret	Udang Krosok (Tiger cat shrimp)	1.221
2020	Maret	Rajungan (Swimming crabs)	6.480
2020	Maret	Cumi-cumi (Common squids)	29.785
2020	Maret	Sotong (Cuttle fish)	2.099
2020	Maret	Gurita (Octopuses)	121
2020	Maret	Udang lainnya (Other shrimps)	2.207
2020	Maret	Ikan Lainnya (Others)	599
2020	April	Teri (Anchovy)	44.694
2020	April	Teri Nasi (Anchovies)	-
2020	April	Belanak (Mullets)	612
2020	April	Bentong (Oxeye scad)	1
2020	April	Cendro (Needle fish)	120
2020	April	Talang-Talang (Queen fish)	32
